#{"t_start": 1736080320.903883, "env_id": "None"}
r,l,t
23.450354,1000,166.727541
45.168156,1000,166.727551
36.256824,1000,166.727561
33.367275,1000,166.72757
18.770718,1000,172.227708
37.457245,1000,172.227757
41.374195,1000,172.227772
22.632,1000,172.227783
26.666409,1000,172.227793
37.19195,1000,172.227803
26.726175,1000,172.227813
29.72118,1000,172.227823
30.362844,1000,172.227833
40.339893,1000,172.227843
75.71777,1000,181.24493
28.961826,1000,181.245006
34.973637,1000,181.245283
30.61661,1000,181.245378
32.13201,1000,181.245603
33.2493,1000,181.245651
32.204323,1000,181.245666
32.07379,1000,181.245678
39.292458,1000,181.245688
19.632608,1000,181.245699
43.000504,1000,186.78089
37.927654,1000,186.780938
28.09921,1000,186.780953
46.830704,1000,186.780964
3.0144374,1000,186.780974
27.222347,1000,186.780984
48.136135,1000,186.780993
35.699078,1000,186.781003
33.313354,1000,186.781012
48.904247,1000,186.781022
69.816315,1000,195.720015
27.489012,1000,195.720065
25.79581,1000,195.72008
31.38151,1000,195.720091
25.30938,1000,195.720101
32.182297,1000,195.720111
79.069855,1000,195.720121
23.401737,1000,195.720131
28.057076,1000,195.72014
25.244476,1000,195.72015
62.154778,1000,201.239347
19.347658,1000,201.239398
33.158276,1000,201.239414
8.93793,1000,201.239425
36.804867,1000,201.239435
29.011265,1000,201.239445
26.601791,1000,201.239455
27.86622,1000,201.239464
58.266895,1000,201.239474
30.610556,1000,201.239483
20.012714,1000,210.155446
33.211506,1000,210.155508
31.546974,1000,210.155528
41.86913,1000,210.15554
29.556084,1000,210.15555
27.272911,1000,210.155561
52.95807,1000,210.15557
57.152916,1000,210.15558
32.034763,1000,210.155589
26.973179,1000,210.155599
24.081612,1000,215.689386
33.989044,1000,215.689442
12.757536,1000,215.689474
33.865433,1000,215.689498
23.71999,1000,215.68952
30.84681,1000,215.689543
58.91988,1000,215.689566
27.849604,1000,215.689584
63.802116,1000,215.689601
45.603962,1000,215.689617
28.00857,1000,224.747537
47.834595,1000,224.747588
53.682518,1000,224.747604
28.174078,1000,224.747617
36.74263,1000,224.747629
20.962202,1000,224.74764
31.685486,1000,224.74765
56.17509,1000,224.747661
36.691387,1000,224.747684
35.86114,1000,224.747695
22.742905,1000,230.27001
28.809504,1000,230.270073
25.942116,1000,230.270089
71.28808,1000,230.2701
42.198235,1000,230.27011
28.29705,1000,230.27012
14.507424,1000,230.27013
31.273575,1000,230.270139
58.309982,1000,230.270149
25.802372,1000,230.270159
33.43541,1000,239.303637
108.988846,1000,239.303685
25.799973,1000,239.303701
19.890123,1000,239.303712
33.492657,1000,239.303723
23.144314,1000,239.303733
28.916264,1000,239.303742
36.922066,1000,239.303752
24.739832,1000,239.303763
61.916462,1000,239.303773
24.214422,1000,245.083466
42.220528,1000,245.083516
2.5308893,1000,245.083531
34.09709,1000,245.083542
83.25749,1000,245.083553
28.412092,1000,245.083563
34.218117,1000,245.083573
56.8901,1000,245.083582
21.511772,1000,245.083592
27.597609,1000,245.083602
30.961136,1000,255.026219
33.0738,1000,255.026268
64.82171,1000,255.026284
28.755112,1000,255.026295
32.91507,1000,255.026305
29.357603,1000,255.026315
33.80434,1000,255.026325
43.09162,1000,255.026334
29.809624,1000,255.026344
56.97412,1000,255.026353
31.34222,1000,260.513759
26.563995,1000,260.513808
44.06995,1000,260.513823
22.149427,1000,260.513834
28.083876,1000,260.513844
27.712801,1000,260.513854
60.056107,1000,260.513863
38.662086,1000,260.513873
43.92931,1000,260.513883
-5.8221483,1000,260.513892
72.10344,1000,269.682061
36.882774,1000,269.682143
29.386095,1000,269.682167
30.150595,1000,269.682184
27.34798,1000,269.682202
35.081253,1000,269.682222
27.640596,1000,269.682238
26.014101,1000,269.682257
42.549862,1000,269.682274
29.67167,1000,269.682289
33.640533,1000,275.433809
29.219973,1000,275.433861
24.081099,1000,275.433881
39.920452,1000,275.433898
52.705616,1000,275.433914
22.177319,1000,275.43393
64.06369,1000,275.433946
40.566624,1000,275.433962
43.085365,1000,275.433978
79.76389,1000,275.433995
28.049559,1000,284.628427
31.337946,1000,284.628474
24.255217,1000,284.628489
100.83358,1000,284.6285
43.418793,1000,284.62851
30.220247,1000,284.628521
50.212055,1000,284.62853
59.76616,1000,284.62854
33.371635,1000,284.62855
34.80497,1000,284.628559
41.176346,1000,290.180751
